ALDER;CIVILSTAND;TID;INDHOLD
I alt;Ugift;2020K4;2859116
I alt;Gift/separeret;2020K4;2138124
0 år;Ugift;2020K4;61381
0 år;Gift/separeret;2020K4;0
1 år;Ugift;2020K4;61650
1 år;Gift/separeret;2020K4;0
2 år;Ugift;2020K4;62532
2 år;Gift/separeret;2020K4;0
3 år;Ugift;2020K4;61928
3 år;Gift/separeret;2020K4;0
4 år;Ugift;2020K4;62597
4 år;Gift/separeret;2020K4;0
5 år;Ugift;2020K4;59132
5 år;Gift/separeret;2020K4;0
6 år;Ugift;2020K4;58528
6 år;Gift/separeret;2020K4;0
7 år;Ugift;2020K4;59354
7 år;Gift/separeret;2020K4;0
8 år;Ugift;2020K4;60586
8 år;Gift/separeret;2020K4;0
9 år;Ugift;2020K4;63442
9 år;Gift/separeret;2020K4;0
10 år;Ugift;2020K4;66642
10 år;Gift/separeret;2020K4;0
11 år;Ugift;2020K4;66984
11 år;Gift/separeret;2020K4;0
12 år;Ugift;2020K4;69063
12 år;Gift/separeret;2020K4;0
13 år;Ugift;2020K4;67463
13 år;Gift/separeret;2020K4;0
14 år;Ugift;2020K4;68501
14 år;Gift/separeret;2020K4;0
15 år;Ugift;2020K4;68110
15 år;Gift/separeret;2020K4;0
16 år;Ugift;2020K4;68059
16 år;Gift/separeret;2020K4;0
17 år;Ugift;2020K4;67736
17 år;Gift/separeret;2020K4;0
18 år;Ugift;2020K4;67886
18 år;Gift/separeret;2020K4;13
19 år;Ugift;2020K4;70314
19 år;Gift/separeret;2020K4;74
20 år;Ugift;2020K4;71873
20 år;Gift/separeret;2020K4;231
21 år;Ugift;2020K4;72919
21 år;Gift/separeret;2020K4;575
22 år;Ugift;2020K4;73281
22 år;Gift/separeret;2020K4;1104
23 år;Ugift;2020K4;76513
23 år;Gift/separeret;2020K4;1971
24 år;Ugift;2020K4;74894
24 år;Gift/separeret;2020K4;3323
25 år;Ugift;2020K4;76716
25 år;Gift/separeret;2020K4;5390
26 år;Ugift;2020K4;72077
26 år;Gift/separeret;2020K4;7782
27 år;Ugift;2020K4;68725
27 år;Gift/separeret;2020K4;11080
28 år;Ugift;2020K4;64341
28 år;Gift/separeret;2020K4;14725
29 år;Ugift;2020K4;58801
29 år;Gift/separeret;2020K4;18106
30 år;Ugift;2020K4;53898
30 år;Gift/separeret;2020K4;22054
31 år;Ugift;2020K4;48657
31 år;Gift/separeret;2020K4;24633
32 år;Ugift;2020K4;42918
32 år;Gift/separeret;2020K4;27145
33 år;Ugift;2020K4;38418
33 år;Gift/separeret;2020K4;28876
34 år;Ugift;2020K4;35288
34 år;Gift/separeret;2020K4;30431
35 år;Ugift;2020K4;32035
35 år;Gift/separeret;2020K4;31269
36 år;Ugift;2020K4;28768
36 år;Gift/separeret;2020K4;31867
37 år;Ugift;2020K4;26542
37 år;Gift/separeret;2020K4;32675
38 år;Ugift;2020K4;25126
38 år;Gift/separeret;2020K4;33934
39 år;Ugift;2020K4;23939
39 år;Gift/separeret;2020K4;35034
40 år;Ugift;2020K4;23638
40 år;Gift/separeret;2020K4;37745
41 år;Ugift;2020K4;22435
41 år;Gift/separeret;2020K4;38791
42 år;Ugift;2020K4;21848
42 år;Gift/separeret;2020K4;40136
43 år;Ugift;2020K4;20471
43 år;Gift/separeret;2020K4;39917
44 år;Ugift;2020K4;20984
44 år;Gift/separeret;2020K4;42480
45 år;Ugift;2020K4;21246
45 år;Gift/separeret;2020K4;44804
46 år;Ugift;2020K4;19926
46 år;Gift/separeret;2020K4;44188
47 år;Ugift;2020K4;19284
47 år;Gift/separeret;2020K4;44168
48 år;Ugift;2020K4;19343
48 år;Gift/separeret;2020K4;46608
49 år;Ugift;2020K4;18116
49 år;Gift/separeret;2020K4;45038
50 år;Ugift;2020K4;16711
50 år;Gift/separeret;2020K4;43636
51 år;Ugift;2020K4;16501
51 år;Gift/separeret;2020K4;43729
52 år;Ugift;2020K4;16584
52 år;Gift/separeret;2020K4;45571
53 år;Ugift;2020K4;17551
53 år;Gift/separeret;2020K4;49121
54 år;Ugift;2020K4;17493
54 år;Gift/separeret;2020K4;51013
55 år;Ugift;2020K4;16433
55 år;Gift/separeret;2020K4;49791
56 år;Ugift;2020K4;15761
56 år;Gift/separeret;2020K4;48603
57 år;Ugift;2020K4;14757
57 år;Gift/separeret;2020K4;47007
58 år;Ugift;2020K4;13577
58 år;Gift/separeret;2020K4;45561
59 år;Ugift;2020K4;12616
59 år;Gift/separeret;2020K4;44281
60 år;Ugift;2020K4;11951
60 år;Gift/separeret;2020K4;44092
61 år;Ugift;2020K4;11161
61 år;Gift/separeret;2020K4;43280
62 år;Ugift;2020K4;10690
62 år;Gift/separeret;2020K4;42965
63 år;Ugift;2020K4;10048
63 år;Gift/separeret;2020K4;42660
64 år;Ugift;2020K4;9495
64 år;Gift/separeret;2020K4;42952
65 år;Ugift;2020K4;8689
65 år;Gift/separeret;2020K4;41960
66 år;Ugift;2020K4;8074
66 år;Gift/separeret;2020K4;40955
67 år;Ugift;2020K4;7504
67 år;Gift/separeret;2020K4;42051
68 år;Ugift;2020K4;6670
68 år;Gift/separeret;2020K4;39872
69 år;Ugift;2020K4;5928
69 år;Gift/separeret;2020K4;39285
70 år;Ugift;2020K4;5457
70 år;Gift/separeret;2020K4;40086
71 år;Ugift;2020K4;4815
71 år;Gift/separeret;2020K4;39555
72 år;Ugift;2020K4;4407
72 år;Gift/separeret;2020K4;40784
73 år;Ugift;2020K4;4290
73 år;Gift/separeret;2020K4;42657
74 år;Ugift;2020K4;3913
74 år;Gift/separeret;2020K4;42096
75 år;Ugift;2020K4;3277
75 år;Gift/separeret;2020K4;38275
76 år;Ugift;2020K4;2859
76 år;Gift/separeret;2020K4;34132
77 år;Ugift;2020K4;2361
77 år;Gift/separeret;2020K4;29610
78 år;Ugift;2020K4;1973
78 år;Gift/separeret;2020K4;25945
79 år;Ugift;2020K4;1652
79 år;Gift/separeret;2020K4;21604
80 år;Ugift;2020K4;1509
80 år;Gift/separeret;2020K4;19583
81 år;Ugift;2020K4;1382
81 år;Gift/separeret;2020K4;17003
82 år;Ugift;2020K4;1216
82 år;Gift/separeret;2020K4;14868
83 år;Ugift;2020K4;1062
83 år;Gift/separeret;2020K4;12496
84 år;Ugift;2020K4;942
84 år;Gift/separeret;2020K4;10253
85 år;Ugift;2020K4;813
85 år;Gift/separeret;2020K4;8393
86 år;Ugift;2020K4;671
86 år;Gift/separeret;2020K4;6525
87 år;Ugift;2020K4;637
87 år;Gift/separeret;2020K4;5177
88 år;Ugift;2020K4;511
88 år;Gift/separeret;2020K4;4078
89 år;Ugift;2020K4;460
89 år;Gift/separeret;2020K4;3095
90 år;Ugift;2020K4;398
90 år;Gift/separeret;2020K4;2243
91 år;Ugift;2020K4;338
91 år;Gift/separeret;2020K4;1681
92 år;Ugift;2020K4;256
92 år;Gift/separeret;2020K4;1223
93 år;Ugift;2020K4;222
93 år;Gift/separeret;2020K4;823
94 år;Ugift;2020K4;151
94 år;Gift/separeret;2020K4;594
95 år;Ugift;2020K4;143
95 år;Gift/separeret;2020K4;347
96 år;Ugift;2020K4;96
96 år;Gift/separeret;2020K4;195
97 år;Ugift;2020K4;64
97 år;Gift/separeret;2020K4;110
98 år;Ugift;2020K4;46
98 år;Gift/separeret;2020K4;60
99 år;Ugift;2020K4;42
99 år;Gift/separeret;2020K4;40
100 år;Ugift;2020K4;26
100 år;Gift/separeret;2020K4;18
101 år;Ugift;2020K4;7
101 år;Gift/separeret;2020K4;14
102 år;Ugift;2020K4;9
102 år;Gift/separeret;2020K4;7
103 år;Ugift;2020K4;3
103 år;Gift/separeret;2020K4;2
104 år;Ugift;2020K4;2
104 år;Gift/separeret;2020K4;0
105 år;Ugift;2020K4;2
105 år;Gift/separeret;2020K4;0
106 år;Ugift;2020K4;1
106 år;Gift/separeret;2020K4;0
107 år;Ugift;2020K4;0
107 år;Gift/separeret;2020K4;0
108 år;Ugift;2020K4;1
108 år;Gift/separeret;2020K4;0
109 år;Ugift;2020K4;0
109 år;Gift/separeret;2020K4;0
110 år;Ugift;2020K4;0
110 år;Gift/separeret;2020K4;0
111 år;Ugift;2020K4;0
111 år;Gift/separeret;2020K4;0
112 år;Ugift;2020K4;0
112 år;Gift/separeret;2020K4;0
113 år;Ugift;2020K4;0
113 år;Gift/separeret;2020K4;0
114 år;Ugift;2020K4;0
114 år;Gift/separeret;2020K4;0
115 år;Ugift;2020K4;0
115 år;Gift/separeret;2020K4;0
116 år;Ugift;2020K4;0
116 år;Gift/separeret;2020K4;0
117 år;Ugift;2020K4;0
117 år;Gift/separeret;2020K4;0
118 år;Ugift;2020K4;0
118 år;Gift/separeret;2020K4;0
119 år;Ugift;2020K4;0
119 år;Gift/separeret;2020K4;0
120 år;Ugift;2020K4;0
120 år;Gift/separeret;2020K4;0
121 år;Ugift;2020K4;0
121 år;Gift/separeret;2020K4;0
122 år;Ugift;2020K4;0
122 år;Gift/separeret;2020K4;0
123 år;Ugift;2020K4;0
123 år;Gift/separeret;2020K4;0
124 år;Ugift;2020K4;0
124 år;Gift/separeret;2020K4;0
125 år;Ugift;2020K4;0
125 år;Gift/separeret;2020K4;0
